n_episode,score,n_buffer,eps
20,-522.8,10000,7.90%
40,-500,10000,7.80%
60,-500,10000,7.70%
80,-500,10000,7.60%
100,-456.2,10000,7.50%
120,-466.1,10000,7.40%
140,-473.3,10000,7.30%
160,-482.9,10000,7.20%
180,-375.5,10000,7.10%
200,-380.6,10000,7.00%
220,-466.4,10000,6.90%
240,-428.9,10000,6.80%
260,-446.6,10000,6.70%
280,-362.1,10000,6.60%
300,-298.7,10000,6.50%
320,-341.6,10000,6.40%
340,-365.8,10000,6.30%
360,-486.4,10000,6.20%
380,-388.2,10000,6.10%
400,-415.9,10000,6.00%
420,-348.8,10000,5.90%
440,-403.8,10000,5.80%
460,-376.6,10000,5.70%
480,-486.1,10000,5.60%
500,-444.1,10000,5.50%
520,-466.2,10000,5.40%
540,-427.8,10000,5.30%
560,-310.4,10000,5.20%
580,-463.8,10000,5.10%
600,-390.9,10000,5.00%
620,-452.2,10000,4.90%
640,-476.6,10000,4.80%
660,-471.1,10000,4.70%
680,-500,10000,4.60%
700,-500,10000,4.50%
720,-500,10000,4.40%
740,-498.1,10000,4.30%
760,-491.8,10000,4.20%
780,-500,10000,4.10%
800,-500,10000,4.00%
820,-500,10000,3.90%
840,-500,10000,3.80%
860,-500,10000,3.70%
880,-484.1,10000,3.60%
900,-471.4,10000,3.50%
920,-491.4,10000,3.40%
940,-492.9,10000,3.30%
960,-448.8,10000,3.20%
980,-493.6,10000,3.10%
1000,-409.1,10000,3.00%
1020,-317.4,10000,2.90%
1040,-429.4,10000,2.80%
1060,-474.8,10000,2.70%
1080,-481.8,10000,2.60%
1100,-484.6,10000,2.50%
1120,-455.8,10000,2.40%
1140,-428.6,10000,2.30%
1160,-422.4,10000,2.20%
1180,-456.2,10000,2.10%
1200,-433.6,10000,2.00%
1220,-378.8,10000,1.90%
1240,-388.7,10000,1.80%
1260,-447.9,10000,1.70%
1280,-489.9,10000,1.60%
1300,-423.4,10000,1.50%
1320,-499.2,10000,1.40%
1340,-483.9,10000,1.30%
1360,-492,10000,1.20%
1380,-404.6,10000,1.10%
1400,-317.4,10000,1.00%
1420,-397.2,10000,1.00%
1440,-404.9,10000,1.00%
1460,-456.9,10000,1.00%
1480,-464.8,10000,1.00%
1500,-500,10000,1.00%
1520,-500,10000,1.00%
1540,-500,10000,1.00%
1560,-500,10000,1.00%
1580,-488.5,10000,1.00%
1600,-500,10000,1.00%
1620,-491.2,10000,1.00%
1640,-500,10000,1.00%
1660,-500,10000,1.00%
1680,-500,10000,1.00%
1700,-500,10000,1.00%
1720,-500,10000,1.00%
1740,-500,10000,1.00%
1760,-496.7,10000,1.00%
1780,-500,10000,1.00%
1800,-477.4,10000,1.00%
1820,-458.5,10000,1.00%
1840,-390.1,10000,1.00%
1860,-340.9,10000,1.00%
1880,-305.8,10000,1.00%
1900,-455.1,10000,1.00%
1920,-420.8,10000,1.00%
1940,-487.4,10000,1.00%
1960,-500,10000,1.00%
1980,-500,10000,1.00%
2000,-493.9,10000,1.00%
2020,-500,10000,1.00%
2040,-500,10000,1.00%
2060,-441.6,10000,1.00%
2080,-500,10000,1.00%
2100,-500,10000,1.00%
2120,-500,10000,1.00%
2140,-500,10000,1.00%
2160,-500,10000,1.00%
2180,-500,10000,1.00%
2200,-500,10000,1.00%
2220,-500,10000,1.00%
2240,-500,10000,1.00%
2260,-500,10000,1.00%
2280,-494.2,10000,1.00%
2300,-500,10000,1.00%
2320,-492.6,10000,1.00%
2340,-496.5,10000,1.00%
2360,-481.9,10000,1.00%
2380,-488.1,10000,1.00%
2400,-500,10000,1.00%
2420,-500,10000,1.00%
2440,-500,10000,1.00%
2460,-500,10000,1.00%
2480,-490.6,10000,1.00%
2500,-468.8,10000,1.00%
2520,-489.8,10000,1.00%
2540,-466.4,10000,1.00%
2560,-443.1,10000,1.00%
2580,-397.9,10000,1.00%
2600,-441.2,10000,1.00%
2620,-476.9,10000,1.00%
2640,-452.1,10000,1.00%
2660,-456,10000,1.00%
2680,-431.5,10000,1.00%
2700,-484.8,10000,1.00%
2720,-500,10000,1.00%
2740,-453.1,10000,1.00%
2760,-480.4,10000,1.00%
2780,-491.8,10000,1.00%
2800,-482.1,10000,1.00%
2820,-432.6,10000,1.00%
2840,-471.2,10000,1.00%
2860,-480,10000,1.00%
2880,-431.3,10000,1.00%
2900,-397.8,10000,1.00%
2920,-420.1,10000,1.00%
2940,-406.3,10000,1.00%
2960,-445.3,10000,1.00%
2980,-439.7,10000,1.00%
